family,relation,target,sense
abandon,synonym,desert,
abandon,synonym,empty,3
abdomen,synonym,belly,1
abdomen,synonym,stomach,1
abduct,synonym,kidnap,1
abduct,synonym,snatch,1
abide,similar,ache,2
abide,similar,hurt,2
abide,similar,suffer,2
abide,synonym,bear,2
abide,synonym,digest,2
abide,synonym,endure,2
abide,synonym,stand,2
abide,synonym,stay,1
abide,synonym,stomach,2
abide,synonym,suffer,2
abide,synonym,support,2
abide,synonym,tolerate,2
able,similar,capable,3
able,similar,competent,2
able,synonym,capable,2
abnormal,antonym,normal,1
abnormal,similar,deviant,1
abnormal,similar,deviate,1
abnormal,similar,moderate,3
abnormal,similar,regular,1
aboard,synonym,alongside,3
abolish,antonym,establish,1
abound,synonym,bristle,2
abound,synonym,burst,2
about,similar,active,1
about,synonym,almost,
about,synonym,around,2
about,synonym,some,2
above,antonym,below,3
abroad,synonym,overseas,3
abrupt,similar,steep,3
abrupt,similar,sudden,2
abrupt,synonym,sharp,3
absence,antonym,presence,1
absent,antonym,present,1
absent,antonym,presented,
absent,similar,attentive,3
absent,similar,away,1
absent,synonym,abstract,3
absent,synonym,missed,2
absolute,antonym,relative,1
absolute,antonym,relatives,
absolute,similar,arbitrary,3
absolute,similar,complete,2
absolute,similar,direct,1
absolute,similar,exact,1
absolute,similar,implicit,1
absolute,similar,infinite,1
absolute,synonym,rank,2
absolute,synonym,sheer,2
absorb,antonym,emit,
absorb,synonym,assimilate,2
absorb,synonym,engage,
absorb,synonym,immerse,
abstract,antonym,concrete,1
abstract,similar,ideal,1
abstract,similar,ideological,1
abstract,similar,theoretical,3
abstract,synonym,absent,
abstract,synonym,outline,
abstract,synonym,sneak,
absurd,synonym,nonsense,2
absurd,synonym,ridiculous,2
abundant,antonym,scarce,1
abundant,similar,ample,1
abundant,similar,easy,1
abundant,similar,long,1
abundant,similar,lush,1
abundant,similar,rank,1
abundant,similar,rich,1
abundant,similar,thick,1
abuse,synonym,insult,2
accelerate,synonym,speed,1
accent,synonym,dialect,3
accent,synonym,emphasis,2
accent,synonym,emphasise,
accent,synonym,punctuate,
accent,synonym,stress,
accept,antonym,refuse,2
accept,antonym,reject,1
accept,similar,have,2
accept,similar,receive,2
accept,synonym,consent,3
accept,synonym,have,2
accept,synonym,take,2
access,synonym,admission,1
access,synonym,approach,3
accessory,synonym,supplement,2
accident,synonym,stroke,2
acclaim,synonym,applaud,3
acclaim,synonym,clap,3
acclaim,synonym,hail,2
acclaim,synonym,herald,2
acclaim,synonym,spit,3
accommodate,synonym,adapt,2
accommodate,synonym,fit,1
accommodate,synonym,oblige,
accommodate,synonym,reconcile,
accommodate,synonym,suit,1
accompany,synonym,follow,3
accomplish,similar,implement,1
accomplish,synonym,achieve,2
accomplish,synonym,act,1
accomplish,synonym,attain,2
accomplish,synonym,execute,1
accomplish,synonym,fulfil,1
accomplish,synonym,reach,2
accord,synonym,allot,
accord,synonym,pact,3
accord,synonym,treaty,3
account,synonym,bill,
account,synonym,calculate,
account,synonym,chronicle,1
account,synonym,describe,
account,synonym,history,1
account,synonym,report,2
account,synonym,story,1
accountable,similar,responsible,1
accountant,synonym,control,1
accredit,synonym,credit,3
accredit,synonym,recognize,1
accrue,similar,fall,2
accrue,similar,light,2
accrue,similar,pass,2
accrue,similar,return,2
accrue,synonym,fall,2
accumulate,synonym,collect,1
accumulate,synonym,compile,1
accumulate,synonym,conglomerate,2
accumulate,synonym,gather,2
accurate,similar,close,1
accurate,similar,correct,2
accurate,similar,right,1
accurate,similar,straight,1
accurate,similar,surgical,1
accurate,similar,true,1
accurate,synonym,exact,2
accurate,synonym,precise,2
accuse,synonym,charge,2
accuse,synonym,impeach,1
ace,synonym,champion,3
ace,synonym,genius,3
ace,synonym,one,1
ace,synonym,sensation,3
ace,synonym,single,1
ace,synonym,star,3
ace,synonym,super,
ace,synonym,unity,1
ace,synonym,wizard,3
ache,synonym,hurt,3
ache,synonym,pine,2
ache,synonym,smart,3
ache,synonym,yearn,2
ache,synonym,yen,2
achieve,synonym,accomplish,1
achieve,synonym,attain,1
achieve,synonym,reach,1
acid,similar,pleasant,3
acid,synonym,bitter,3
acid,synonym,dose,2
acid,synonym,dot,2
acknowledge,synonym,admit,1
acknowledge,synonym,notice,3
acknowledge,synonym,receipt,2
acknowledge,synonym,recognize,
acquaint,similar,introduce,2
acquaint,similar,present,2
acquaint,synonym,introduce,1
acquaint,synonym,present,1
acquire,similar,develop,3
acquire,similar,evolve,3
acquire,similar,find,1
acquire,similar,get,1
acquire,similar,incur,1
acquire,similar,obtain,1
acquire,similar,receive,1
acquire,synonym,adopt,2
acquire,synonym,assume,2
acquire,synonym,develop,3
acquire,synonym,evolve,
acquire,synonym,gain,
acquire,synonym,get,1
acquire,synonym,grow,3
acquire,synonym,learn,
acquire,synonym,produce,3
acquire,synonym,take,2
acquire,synonym,win,
acquisition,synonym,skill,
acquit,antonym,convict,1
acquit,similar,act,2
acquit,similar,play,2
acquit,similar,pretend,2
acquit,synonym,act,2
acquit,synonym,bear,2
acquit,synonym,behave,2
acquit,synonym,carry,2
acquit,synonym,clear,1
acquit,synonym,conduct,2
acquit,synonym,deport,2
acquit,synonym,discharge,1
acquit,synonym,do,2
acre,synonym,estate,
act,antonym,refrain,1
act,similar,play,2
act,similar,pretend,2
act,synonym,accomplish,
act,synonym,acquit,2
act,synonym,bear,2
act,synonym,behave,2
act,synonym,carry,2
act,synonym,conduct,2
act,synonym,deed,
act,synonym,deport,2
act,synonym,do,2
act,synonym,execute,
act,synonym,fulfil,
act,synonym,litigate,
act,synonym,move,1
act,synonym,number,
act,synonym,play,3
act,synonym,pretend,
act,synonym,represent,3
act,synonym,routine,
act,synonym,work,
activate,synonym,spark,1
activate,synonym,trigger,1
activate,synonym,trip,1
active,antonym,extinct,
active,antonym,passive,3
active,antonym,quiet,
active,synonym,dynamic,
active,synonym,passive,
active,synonym,static,
actual,antonym,potential,1
actual,similar,effective,1
actual,similar,real,2
actual,similar,true,3
actual,synonym,factual,
actual,synonym,genuine,3
actual,synonym,literal,3
actual,synonym,real,3
acute,antonym,chronic,1
acute,similar,sharp,2
acute,synonym,intense,2
acute,synonym,keen,3
acute,synonym,sharp,3
adapt,synonym,accommodate,1
adapt,synonym,adjust,2
adapt,synonym,conform,2
add,synonym,bring,3
add,synonym,contribute,3
add,synonym,lend,3
add,synonym,supply,2
addict,synonym,dependence,
addict,synonym,dependency,
addict,synonym,freak,1
addict,synonym,hook,3
addict,synonym,junk,1
addict,synonym,nut,1
address,synonym,deal,
address,synonym,destination,
address,synonym,handle,
address,synonym,speech,3
adequacy,synonym,deficiency,
adequate,similar,capable,1
adequate,similar,competent,1
adequate,similar,satisfactory,3
adequate,similar,sufficient,2
adequate,synonym,enough,2
adequate,synonym,equal,1
adequate,synonym,intolerable,3
adhere,similar,bind,3
adhere,similar,bond,3
adhere,similar,stick,3
adhere,synonym,bind,
adhere,synonym,cleave,3
adhere,synonym,cling,3
adhere,synonym,stick,3
adjacent,similar,close,1
adjacent,similar,near,3
adjacent,synonym,next,1
adjective,antonym,substantive,
adjoin,similar,converge,2
adjoin,similar,meet,2
adjoin,synonym,border,1
adjoin,synonym,butt,1
adjoin,synonym,contact,2
adjoin,synonym,edge,1
adjoin,synonym,march,1
adjoin,synonym,meet,2
adjoin,synonym,touch,2
adjust,synonym,adapt,3
adjust,synonym,align,2
adjust,synonym,conform,3
adjust,synonym,correct,1
adjust,synonym,set,1
administer,synonym,allot,3
administer,synonym,deal,3
administer,synonym,dispense,3
administer,synonym,distribute,3
administer,synonym,lot,3
administration,synonym,brass,2
administration,synonym,presidency,
administrator,synonym,executive,3
admission,synonym,access,
admit,antonym,deny,1
admit,antonym,exclude,3
admit,antonym,reject,2
admit,similar,accept,3
admit,similar,take,3
admit,synonym,acknowledge,1
admit,synonym,include,3
adolescent,similar,mature,3
adolescent,similar,young,3
adolescent,synonym,juvenile,
adolescent,synonym,teen,1
adolescent,synonym,teenage,3
adopt,similar,comply,1
adopt,similar,follow,1
adopt,synonym,acquire,
adopt,synonym,assume,3
adopt,synonym,borrow,2
adopt,synonym,embrace,
adopt,synonym,follow,1
adorn,similar,ornament,1
adorn,synonym,deck,2
adorn,synonym,decorate,1
adorn,synonym,grace,1
adorn,synonym,invest,3
adorn,synonym,ornament,1
adult,antonym,juvenile,1
adult,similar,mature,3
adult,synonym,big,3
advance,antonym,back,
advance,antonym,recede,
advance,antonym,retreat,
advance,synonym,approach,3
advance,synonym,beforehand,
advance,synonym,boost,
advance,synonym,elevate,
advance,synonym,encourage,
advance,synonym,further,
advance,synonym,procession,
advance,synonym,progress,1
advance,synonym,promote,
advance,synonym,upgrade,
advance,synonym,win,
advantage,antonym,disadvantage,1
advantage,synonym,reward,3
adventure,synonym,chance,2
adventure,synonym,gamble,2
adventure,synonym,hazard,2
adventure,synonym,risk,2
adventure,synonym,stake,3
adventure,synonym,venture,3
adversary,synonym,opponent,1
adverse,synonym,contrary,2
advertise,similar,agitate,2
advertise,similar,campaign,2
advertise,similar,crusade,2
advertise,similar,fight,2
advertise,similar,press,2
advertise,similar,push,2
advertise,synonym,cite,
advertise,synonym,mention,
advertise,synonym,promote,2
advertise,synonym,publicize,1
advertise,synonym,push,2
advertise,synonym,refer,
advise,synonym,counsel,1
advise,synonym,notify,2
advise,synonym,propose,3
advise,synonym,suggest,3
advocate,synonym,counsel,2
advocate,synonym,preach,
advocate,synonym,proponent,1
advocate,synonym,recommend,3
advocate,synonym,urge,3
aesthetic,similar,cosmetic,2
affair,synonym,function,3
affair,synonym,liaison,2
affair,synonym,matter,1
affair,synonym,occasion,3
affair,synonym,thing,1
affect,synonym,impact,1
affect,synonym,impress,
affect,synonym,involve,3
affect,synonym,pretend,
affect,synonym,regard,3
affect,synonym,strike,
affect,synonym,touch,1
affection,synonym,heart,1
affiliate,synonym,associate,3
affirm,synonym,assert,2
affirm,synonym,confirm,1
affirm,synonym,support,1
affirm,synonym,sustain,1
affirm,synonym,swear,2
affirm,synonym,verify,2
affluent,similar,rich,1
affluent,synonym,flush,1
affluent,synonym,substantial,1
affluent,synonym,tribute,3
afford,similar,give,2
afford,synonym,give,2
afford,synonym,yield,2
afraid,similar,horrified,1
afraid,similar,numb,1
aftermath,synonym,consequence,2
aftermath,synonym,wake,1
age,antonym,young,
agency,synonym,authority,1
agency,synonym,bureau,1
agency,synonym,office,1
agency,synonym,way,
agenda,synonym,schedule,1
agent,synonym,broker,
aggravate,synonym,exacerbate,1
aggravate,synonym,exasperate,1
aggregate,synonym,conglomerate,3
aggregate,synonym,sum,1
aggregate,synonym,total,1
aggressive,similar,hostile,1
aggressive,similar,militant,1
aggressive,similar,rough,1
agitate,antonym,calm,2
agitate,similar,advertise,3
agitate,similar,promote,3
agitate,similar,push,3
agitate,synonym,campaign,3
agitate,synonym,charge,2
agitate,synonym,crusade,3
agitate,synonym,disturb,
agitate,synonym,excite,2
agitate,synonym,fight,3
agitate,synonym,press,3
agitate,synonym,push,3
agitate,synonym,rouse,2
agitate,synonym,shake,
agitate,synonym,stir,
ago,similar,past,2
agony,synonym,torment,1
agony,synonym,torture,1
agree,antonym,disagree,1
agree,similar,accord,3
agree,similar,check,3
agree,synonym,check,3
agree,synonym,correspond,3
agree,synonym,fit,3
agree,synonym,hold,1
agree,synonym,match,3
agree,synonym,tally,3
agriculture,synonym,farm,2
ahead,antonym,back,2
ahead,synonym,before,1
ahead,synonym,beforehand,
ahead,synonym,forward,2
ahead,synonym,onwards,3
aid,synonym,assist,2
aid,synonym,attention,
aid,synonym,care,
aid,synonym,help,1
ail,synonym,complaint,
ail,synonym,garlic,3
ail,synonym,pain,2
ail,synonym,trouble,2
aim,synonym,aspire,
aim,synonym,direct,1
aim,synonym,drive,3
aim,synonym,get,3
aim,synonym,intent,
aim,synonym,object,
aim,synonym,objective,
aim,synonym,propose,2
aim,synonym,purport,2
aim,synonym,purpose,2
aim,synonym,take,1
aim,synonym,train,1
air,synonym,atmosphere,3
air,synonym,aura,3
air,synonym,breeze,
air,synonym,broadcast,
air,synonym,melody,
air,synonym,publicize,
air,synonym,strain,
air,synonym,transmit,
air,synonym,tune,
air,synonym,ventilate,
airline,synonym,airways,2
airways,synonym,airline,
akin,similar,similar,1
akin,synonym,kin,2
alarm,synonym,alert,3
alarm,synonym,appal,
alarm,synonym,dismay,1
alert,synonym,alarm,1
alert,synonym,awake,
alert,synonym,brisk,
alert,synonym,lively,
alert,synonym,merry,
alien,synonym,exotic,
alien,synonym,foreign,
align,synonym,adjust,1
align,synonym,array,3
alike,synonym,like,3
alike,synonym,likewise,1
alike,synonym,similar,3
alive,antonym,dead,1
alive,similar,lively,2
alive,similar,viable,1
alive,similar,vital,1
alive,synonym,awake,
alive,synonym,live,1
all,antonym,no,1
all,antonym,some,1
all,similar,complete,2
all,similar,each,1
all,similar,every,1
all,synonym,altogether,3
all,synonym,right,3
all,synonym,whole,3
allege,synonym,say,1
alleviate,synonym,ease,2
alleviate,synonym,facilitate,2
alleviate,synonym,relieve,1
alliance,synonym,bond,2
alliance,synonym,coalition,3
alliance,synonym,confederate,1
allot,synonym,accord,2
allot,synonym,administer,3
allot,synonym,assign,1
allot,synonym,deal,3
allot,synonym,dispense,3
allot,synonym,distribute,3
allot,synonym,grant,2
allot,synonym,lot,3
allot,synonym,portion,1
allow,antonym,deny,3
allow,similar,grant,2
allow,similar,let,3
allow,similar,permit,3
allow,synonym,appropriate,
allow,synonym,appropriated,
allow,synonym,grant,3
allow,synonym,let,1
allow,synonym,permit,1
ally,synonym,friend,2
almost,synonym,about,1
almost,synonym,most,1
almost,synonym,near,1
alone,similar,exclusive,3
alone,similar,social,1
alone,synonym,lone,2
alone,synonym,only,3
alone,synonym,solitary,2
alone,synonym,unique,
along,synonym,on,1
alongside,synonym,aboard,1
aloud,synonym,loud,2
alright,synonym,fine,2
also,synonym,likewise,1
also,synonym,too,1
alter,synonym,change,1
alter,synonym,modify,1
alter,synonym,vary,2
alternate,antonym,direct,
alternate,antonym,opposite,
alternate,synonym,alternative,2
alternate,synonym,substitute,2
alternative,synonym,alternate,2
alternative,synonym,choice,1
alternative,synonym,option,1
alternative,synonym,substitute,2
altitude,synonym,height,1
altogether,synonym,all,1
altogether,synonym,right,1
altogether,synonym,whole,1
always,synonym,ever,1
amateur,antonym,profession,
amateur,synonym,expert,2
amaze,synonym,astonish,1
amaze,synonym,baffle,2
amaze,synonym,beat,2
amaze,synonym,bewilder,2
amaze,synonym,get,2
amaze,synonym,gravel,2
amaze,synonym,pose,2
amaze,synonym,puzzle,2
amaze,synonym,stick,2
amber,synonym,gold,1
ambiguous,similar,certain,2
ambiguous,similar,double,1
ambiguous,synonym,equivocal,1
ambition,synonym,dream,1
ambitious,similar,difficult,2
ambitious,similar,hard,2
ambivalent,similar,certain,1
ambivalent,similar,sure,1
ambush,synonym,lurk,2
ambush,synonym,trap,1
amend,similar,better,2
amend,similar,improve,2
amend,synonym,better,2
amend,synonym,improve,2
amend,synonym,remedy,3
amend,synonym,repair,3
amnesty,synonym,pardon,2
amount,synonym,measure,3
amount,synonym,quantity,3
amount,synonym,sum,1
ample,similar,abundant,2
ample,similar,big,3
ample,similar,full,1
ample,similar,generous,1
ample,similar,good,1
ample,similar,large,3
ample,similar,wide,1
ample,synonym,rich,2
amplify,synonym,exaggerate,2
amplify,synonym,expand,3
amplify,synonym,inflate,3
amplify,synonym,magnify,1
amuse,synonym,divert,1
analogous,similar,similar,1
analogous,synonym,correspondent,1
analyse,synonym,examine,1
analyse,synonym,study,1
analytic,antonym,synthetic,2
anarchy,synonym,law,1
anatomy,synonym,build,2
anatomy,synonym,figure,2
anatomy,synonym,flesh,2
anatomy,synonym,form,2
anatomy,synonym,frame,2
anatomy,synonym,shape,2
ancestor,synonym,root,1
ancient,similar,old,2
ancient,similar,past,1
angel,synonym,back,3
angel,synonym,saint,2
angle,synonym,fish,
angle,synonym,lean,
angle,synonym,tilt,
angry,similar,black,1
angry,similar,furious,1
angry,similar,indignant,1
angry,similar,mad,1
angry,similar,sore,1
angry,synonym,furious,2
angry,synonym,wild,2
anguish,synonym,hurt,
anguish,synonym,torment,1
anguish,synonym,torture,1
animal,similar,physical,2
animal,synonym,beast,1
animal,synonym,brute,1
animal,synonym,creature,1
animal,synonym,sensual,2
animate,synonym,inspire,1
animate,synonym,renovate,
animate,synonym,revive,
annex,synonym,extension,1
annex,synonym,wing,1
announce,synonym,declare,2
announce,synonym,denote,1
announce,synonym,herald,
annoy,synonym,bother,1
annoy,synonym,devil,1
annoy,synonym,gravel,1
annoy,synonym,irritate,1
annoy,synonym,rag,1
annual,antonym,perennial,1
another,similar,other,1
answer,antonym,question,3
answer,synonym,reply,1
answer,synonym,resolution,2
answer,synonym,respond,
answer,synonym,response,1
answer,synonym,result,2
answer,synonym,solution,2
answer,synonym,solvent,2
answer,synonym,suffice,
anticipate,similar,await,1
anticipate,similar,expect,1
anticipate,similar,look,1
anticipate,similar,wait,1
anticipate,synonym,counter,2
anticipate,synonym,expect,1
anticipate,synonym,foresee,2
anticipate,synonym,predict,
anticipate,synonym,promise,
antique,similar,old,1
anxious,similar,eager,1
anxious,synonym,nervous,2
any,similar,some,1
any,synonym,whatsoever,1
apart,synonym,aside,2
apartment,synonym,flat,1
apology,synonym,excuse,3
appal,synonym,alarm,2
appal,synonym,dismay,2
appal,synonym,offend,1
appal,synonym,outrage,1
appal,synonym,shock,1
apparent,similar,obvious,1
apparent,similar,superficial,2
apparent,synonym,evident,1
apparent,synonym,manifest,1
apparent,synonym,ostensible,2
apparent,synonym,patent,1
apparent,synonym,plain,1
appeal,synonym,attract,
appeal,synonym,charm,2
appeal,synonym,invoke,
appear,antonym,disappear,2
appear,synonym,look,1
appear,synonym,seem,1
applaud,synonym,acclaim,1
applaud,synonym,clap,1
applaud,synonym,spit,1
appliance,synonym,convenience,1
applicable,similar,relevant,1
apply,similar,practise,1
apply,similar,use,1
apply,synonym,employ,1
apply,synonym,enforce,
apply,synonym,hold,2
apply,synonym,implement,
apply,synonym,use,1
apply,synonym,utilise,1
appoint,synonym,charge,2
appoint,synonym,constitute,1
appoint,synonym,name,1
appoint,synonym,nominate,1
appraise,similar,assess,1
appraise,synonym,assess,1
appraise,synonym,evaluate,1
appraise,synonym,measure,1
appraise,synonym,survey,2
appraise,synonym,value,1
appreciate,synonym,prize,3
appreciate,synonym,treasure,3
appreciate,synonym,value,3
apprehend,synonym,arrest,2
apprehend,synonym,collar,2
apprehend,synonym,compass,1
apprehend,synonym,comprehend,1
apprehend,synonym,cop,2
apprehend,synonym,dig,1
apprehend,synonym,grasp,1
apprehend,synonym,nail,2
approach,synonym,access,3
approach,synonym,advance,
approach,synonym,attack,1
approach,synonym,near,
appropriate,antonym,appropriated,
appropriate,similar,fit,2
appropriate,similar,pat,1
appropriate,similar,proper,1
appropriate,similar,right,1
appropriate,synonym,allow,3
appropriate,synonym,conquer,
appropriate,synonym,reserve,3
appropriate,synonym,seize,
appropriated,antonym,appropriate,3
appropriated,similar,pat,3
appropriated,similar,proper,3
appropriated,similar,right,3
appropriated,synonym,allow,1
appropriated,synonym,capture,2
appropriated,synonym,conquer,2
appropriated,synonym,reserve,1
appropriated,synonym,seize,2
approve,antonym,disapprove,1
approve,synonym,sanction,1
approximate,similar,exact,3
approximate,synonym,estimate,2
approximate,synonym,gauge,2
approximate,synonym,guess,2
approximate,synonym,judge,2
approximate,synonym,rough,3
apt,similar,intelligent,3
apt,similar,likely,2
apt,synonym,clever,3
apt,synonym,clumsy,
apt,synonym,liable,2
aquatic,similar,marine,2
arbitrary,similar,absolute,1
arbitrary,similar,discreet,1
arbitrate,synonym,intermediate,1
arbitrate,synonym,mediate,1
arc,synonym,bow,3
arc,synonym,discharge,1
arc,synonym,spark,1
architect,synonym,design,1
arctic,similar,cold,1
arctic,synonym,polar,1
arctic,synonym,rubber,2
area,synonym,arena,
area,synonym,country,1
area,synonym,domain,
area,synonym,expanse,
area,synonym,orbit,
area,synonym,region,3
area,synonym,sphere,
arena,synonym,area,1
arena,synonym,bowl,3
arena,synonym,domain,1
arena,synonym,field,1
arena,synonym,orbit,1
arena,synonym,sphere,1
arena,synonym,stadium,3
argue,synonym,contend,2
argue,synonym,debate,2
argue,synonym,fence,2
argue,synonym,indicate,3
argue,synonym,reason,1
arise,similar,develop,1
arise,synonym,develop,1
arise,synonym,grow,1
arise,synonym,originate,1
arise,synonym,rebel,
arise,synonym,rise,1
arm,antonym,disarm,
arm,synonym,branch,2
arm,synonym,fortify,
arm,synonym,limb,2
arm,synonym,sleeve,
arm,synonym,weapon,3
aroma,synonym,odour,1
aroma,synonym,perfume,2
aroma,synonym,scent,1
aroma,synonym,smell,1
around,synonym,about,1
arouse,similar,evoke,3
arouse,similar,provoke,3
arouse,synonym,awake,2
arouse,synonym,conjure,3
arouse,synonym,elicit,1
arouse,synonym,evoke,1
arouse,synonym,fire,1
arouse,synonym,invoke,3
arouse,synonym,provoke,1
arouse,synonym,raise,1
arouse,synonym,stir,3
arouse,synonym,wake,2
arrange,synonym,format,
arrange,synonym,stage,3
array,synonym,align,
arrest,synonym,apprehend,1
arrest,synonym,catch,3
arrest,synonym,check,2
arrest,synonym,collar,1
arrest,synonym,contain,2
arrest,synonym,cop,1
arrest,synonym,get,3
arrest,synonym,halt,
arrest,synonym,hitch,
arrest,synonym,nail,1
arrest,synonym,stop,2
arrive,antonym,leave,1
arrive,similar,get,1
arrive,synonym,come,1
arrive,synonym,get,1
arrogant,similar,proud,1
arrow,synonym,point,1
art,synonym,humanities,
article,synonym,clause,3
articulate,synonym,joint,1
articulate,synonym,phrase,2
articulate,synonym,pronounce,3
articulate,synonym,say,3
articulate,synonym,word,2
artificial,similar,cardboard,1
artificial,similar,dummy,1
artificial,similar,fake,1
artificial,similar,false,1
artificial,similar,near,1
artificial,similar,organic,3
artificial,similar,substitute,1
artificial,similar,synthetic,1
artificial,synonym,real,1
artillery,synonym,gun,1
artillery,synonym,weapon,3
ascend,antonym,descend,1
ascend,synonym,climb,
ascent,antonym,descent,1
ascent,synonym,climb,1
ascent,synonym,raise,1
ascent,synonym,rise,1
ascent,synonym,upgrade,1
ascertain,similar,assure,3
ascertain,similar,check,1
ascertain,similar,control,2
ascertain,similar,determine,1
ascertain,similar,discover,1
ascertain,similar,ensure,3
ascertain,similar,find,1
ascertain,similar,insure,3
ascertain,similar,learn,1
ascertain,similar,mark,2
ascertain,similar,see,1
ascertain,similar,tick,2
ascertain,similar,verify,2
ascertain,similar,watch,1
ascertain,synonym,assure,2
ascertain,synonym,check,2
ascertain,synonym,control,2
ascertain,synonym,determine,1
ascertain,synonym,ensure,2
ascertain,synonym,find,1
ascertain,synonym,insure,2
ascertain,synonym,learn,3
ascertain,synonym,see,2
ascertain,synonym,watch,3
ascribe,synonym,assign,1
ascribe,synonym,attribute,1
ashamed,similar,guilty,1
aside,synonym,apart,3
aside,synonym,away,2
aside,synonym,by,
ask,similar,enquire,2
ask,similar,inquire,2
ask,synonym,enquire,
ask,synonym,expect,3
ask,synonym,inquire,
ask,synonym,necessitate,
ask,synonym,need,
ask,synonym,require,3
asleep,antonym,awake,1
asleep,similar,dead,3
asleep,synonym,deceased,3
asleep,synonym,numb,2
aspect,synonym,face,
aspect,synonym,facet,1
aspect,synonym,prospect,3
aspect,synonym,scene,3
aspect,synonym,view,3
aspire,synonym,aim,1
ass,synonym,behind,1
ass,synonym,bottom,1
ass,synonym,bum,1
ass,synonym,bun,1
ass,synonym,butt,1
ass,synonym,can,1
ass,synonym,rear,1
ass,synonym,seat,1
ass,synonym,stern,1
ass,synonym,tail,1
assail,similar,attack,2
assail,synonym,assault,1
assail,synonym,attack,1
assail,synonym,round,3
assail,synonym,snipe,3
assault,synonym,assail,
assault,synonym,rape,3
assemble,similar,encounter,2
assemble,similar,meet,2
assemble,similar,see,2
assemble,synonym,gather,2
assemble,synonym,meet,2
assemble,synonym,piece,1
assemble,synonym,tack,1
assembly,synonym,forum,3
assert,synonym,affirm,2
assert,synonym,insist,
assert,synonym,maintain,1
assert,synonym,swear,2
assert,synonym,verify,2
assess,similar,tax,2
assess,synonym,appraise,1
assess,synonym,evaluate,1
assess,synonym,measure,1
assess,synonym,tax,3
assess,synonym,value,1
asset,synonym,plus,1
assign,synonym,allot,2
assign,synonym,ascribe,3
assign,synonym,attribute,3
assign,synonym,delegate,1
assign,synonym,designate,1
assign,synonym,portion,2
assign,synonym,transfer,
assimilate,synonym,absorb,1
assist,similar,serve,3
assist,synonym,aid,1
assist,synonym,attend,3
assist,synonym,help,1
assist,synonym,serve,3
associate,synonym,affiliate,2
associate,synonym,companion,
associate,synonym,comrade,
associate,synonym,connect,1
associate,synonym,fellow,
associate,synonym,link,1
associate,synonym,relate,1
assorted,similar,different,2
assorted,synonym,various,2
assume,synonym,acquire,3
assume,synonym,adopt,2
assume,synonym,presume,1
assume,synonym,simulate,
assume,synonym,take,3
assumption,synonym,premise,1
assure,antonym,worry,
assure,similar,guarantee,1
assure,synonym,ascertain,
assure,synonym,check,
assure,synonym,ensure,1
assure,synonym,guarantee,1
assure,synonym,insure,1
assure,synonym,promise,
assure,synonym,secure,1
assure,synonym,tell,2
astonish,synonym,amaze,1
asylum,synonym,institution,2
asylum,synonym,refuge,1
asylum,synonym,sanctuary,1
asymmetry,antonym,symmetry,1
athlete,synonym,sport,
atmosphere,synonym,air,3
atmosphere,synonym,aura,
atom,synonym,molecule,2
atom,synonym,particle,2
attach,antonym,detach,1
attach,synonym,bind,
attach,synonym,confiscate,
attack,antonym,defend,
attack,synonym,approach,
attack,synonym,assail,
attack,synonym,attempt,
attack,synonym,blast,3
attack,synonym,fire,3
attack,synonym,onset,1
attain,synonym,accomplish,1
attain,synonym,achieve,1
attain,synonym,discover,3
attain,synonym,hit,2
attain,synonym,reach,1
attain,synonym,strike,3
attempt,synonym,attack,2
attempt,synonym,effort,1
attempt,synonym,endeavour,1
attempt,synonym,essay,3
attempt,synonym,seek,3
attempt,synonym,try,1
attempt,synonym,undertake,
attend,antonym,miss,1
attend,synonym,assist,
attend,synonym,look,2
attend,synonym,see,2
attention,synonym,aid,2
attention,synonym,care,2
attentive,similar,captive,1
attentive,similar,intent,1
attic,synonym,bean,2
attic,synonym,dome,2
attic,synonym,loft,1
attitude,synonym,position,2
attitude,synonym,posture,2
attorney,synonym,lawyer,1
attract,antonym,repel,1
attract,similar,curl,1
attract,synonym,appeal,2
attract,synonym,draw,1
attract,synonym,pull,1
attribute,synonym,ascribe,1
attribute,synonym,assign,1
attribute,synonym,dimension,3
attribute,synonym,property,3
audience,synonym,interview,
audio,synonym,sound,1
audit,synonym,inspect,3
august,similar,noble,1
august,synonym,grand,1
aunt,antonym,uncle,1
aura,synonym,air,3
aura,synonym,atmosphere,3
aura,synonym,glory,2
austere,similar,plain,1
austere,similar,strict,2
austere,synonym,severe,1
austere,synonym,stark,1
austere,synonym,stern,1
authentic,similar,genuine,2
author,synonym,generator,2
author,synonym,source,2
authorise,synonym,clear,2
authorise,synonym,empower,1
authorise,synonym,pass,2
authoritative,similar,standard,3
authoritative,synonym,definitive,3
authoritative,synonym,important,2
authority,synonym,agency,
authority,synonym,bureau,
authority,synonym,confidence,
authority,synonym,dominance,1
authority,synonym,office,
authority,synonym,regime,
authority,synonym,sanction,
automatic,antonym,manual,1
automatic,similar,involuntary,3
automatic,similar,mechanic,2
automatic,similar,smart,1
automatic,synonym,reflex,3
automobile,synonym,car,1
automobile,synonym,machine,1
autonomous,similar,free,1
autonomous,similar,independent,2
autonomous,synonym,independent,1
autonomous,synonym,sovereign,1
autonomy,synonym,liberty,1
autumn,synonym,fall,1
available,similar,easy,1
available,similar,forthcoming,1
available,similar,free,2
available,similar,open,1
